frame_idx,timestamp_s,face_detected,au06_cheek_raise_proxy,au12_lip_corner_pull_proxy,au09_nose_wrinkle_proxy,au10_upper_lip_raise_proxy,au24_lip_press_proxy,au45_blink_proxy,cheek_composite_proxy,mouth_open_proxy,mouth_asymmetry_proxy,head_yaw_proxy,head_roll_deg,video_id,source_file,source_fps,processed_fps,frame_step
0,0.0,1,-0.7293360253477796,0.03895167353716829,0.36066716410280014,-0.3486930626404133,-0.003865932531525821,-0.5875013816176741,-0.34635913815034153,0.003865932531525821,0.028309385853988206,0.02996719687016147,2.877754788607144,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,100.0,100.0,1
1,0.01,1,-0.7296518616754436,0.039470873142206875,0.36397165466986686,-0.33989023723241324,-0.005808802609679507,-0.5851875499395538,-0.34335707525521664,0.005808802609679507,0.02823248001939176,0.029518169323791636,2.8207337528371235,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,100.0,100.0,1
2,0.02,1,-0.7274695626788816,0.039432980819272316,0.36672009892162977,-0.33985595165306065,-0.005786299226557363,-0.5782247277949341,-0.3426308445042234,0.005786299226557363,0.028275731859400247,0.027151833305234248,2.738017599027122,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,100.0,100.0,1
3,0.03,1,-0.7271030869383803,0.0394385572174096,0.3689041493018927,-0.3391248184811973,-0.006201495081836878,-0.5774852003723405,-0.3422631160673893,0.006201495081836878,0.028339348181560996,0.026668563077739547,2.6890575683443236,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,100.0,100.0,1
4,0.04,1,-0.7275531661401449,0.039426325219905765,0.37050232552086054,-0.3385566020452851,-0.006379444142159814,-0.5757108918296674,-0.3422278143218414,0.006379444142159814,0.028402923941032977,0.02647552730329594,2.664411103813272,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,100.0,100.0,1
5,0.05,1,-0.7293630091579755,0.03985576599250884,0.37134225051150155,-0.33933703744126836,-0.0063998349801908236,-0.5766854186784001,-0.34294809353557837,0.0063998349801908236,0.028476664586642265,0.026352484320153705,2.6735855075643453,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,100.0,100.0,1
6,0.06,1,-0.7268979355587296,0.03977384812533473,0.3731011303190606,-0.3386992106995724,-0.006442141085213871,-0.5697633024252191,-0.34194109937765577,0.006442141085213871,0.028312870507263627,0.024976132482412677,2.6314508553682665,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,100.0,100.0,1
7,0.07,1,-0.7260796041148815,0.03987218224967668,0.373883979471157,-0.3380544980951765,-0.0068546943485601735,-0.5689917500883928,-0.3414206399867938,0.0068546943485601735,0.028368464186577624,0.025334243179471784,2.632340163581067,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,100.0,100.0,1
8,0.08,1,-0.725372328170949,0.039925061679668326,0.3741411583384798,-0.3375893166882181,-0.007255052057834457,-0.5679417402047386,-0.34101219439316627,0.007255052057834457,0.028440004024389086,0.025736850077332923,2.641724826820957,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,100.0,100.0,1
9,0.09,1,-0.7210957874302877,0.03791924529454723,0.3741334916342157,-0.3357528985670517,-0.008189709637693911,-0.564381132205127,-0.33964314690093067,0.008189709637693911,0.028135434269979307,0.02439986818334916,2.570931634781733,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,100.0,100.0,1
