frame_idx,timestamp_s,face_detected,au06_cheek_raise_proxy,au12_lip_corner_pull_proxy,au09_nose_wrinkle_proxy,au10_upper_lip_raise_proxy,au24_lip_press_proxy,au45_blink_proxy,cheek_composite_proxy,mouth_open_proxy,mouth_asymmetry_proxy,head_yaw_proxy,head_roll_deg,video_id,source_file,source_fps,processed_fps,frame_step
0,0.0,1,-0.6746473388490052,0.16851028634123044,0.4418750950140022,-0.23494309431607963,-0.19764837532121848,-0.4540556580541656,-0.24702671560795145,0.19764837532121848,0.19541356638393045,0.14179372580405808,11.522695708204804,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
1,0.01,1,-0.6736245667462664,0.1671723407901541,0.444935290760302,-0.24137765821371632,-0.2020424762453227,-0.4486318708317895,-0.24927662805660952,0.2020424762453227,0.19071213028401757,0.139975611912144,11.214847383581747,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
2,0.02,1,-0.673536206205785,0.16989940771943937,0.44742671638625764,-0.2508589442302246,-0.20369531164960278,-0.4622506667589454,-0.2514985809055234,0.20369531164960278,0.1875403814947986,0.13895220853780915,10.980655837246527,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
3,0.03,1,-0.6712612165012075,0.16936972113990825,0.4492565723269704,-0.2526598818959611,-0.20414334205395976,-0.4673598401509633,-0.25151712575242013,0.20414334205395976,0.18385551231747335,0.1392390931419284,10.853844532351578,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
4,0.04,1,-0.670698919399914,0.1708841161464119,0.4511495215568538,-0.2548393595813692,-0.20328774144295916,-0.47021483638591094,-0.25155138761162377,0.20328774144295916,0.18234656588514653,0.13957871887144474,10.762364160919986,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
5,0.05,1,-0.6700943266836525,0.1730046649162038,0.4519086240969678,-0.25773349949000196,-0.20236861869808545,-0.47384282067272837,-0.25160772041915025,0.20236861869808545,0.18111962404062962,0.14111915701134237,10.724050392480283,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
6,0.06,1,-0.6688776237547023,0.17753981023019988,0.4532827647857403,-0.2648802156387693,-0.2055690113878423,-0.4734375931596918,-0.2520726763877572,0.2055690113878423,0.17883001229562911,0.14069004092917314,10.70265182769198,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
7,0.07,1,-0.6700489414633406,0.17852016754567518,0.4548573771167415,-0.26502453670985243,-0.20682269192482577,-0.4747213110470264,-0.2521844368758393,0.20682269192482577,0.17936744637655358,0.14021167333889054,10.573715349477562,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
8,0.08,1,-0.6692668584837279,0.17785888337233632,0.4538004557468368,-0.2649873184813245,-0.20620245640911558,-0.4765927171614931,-0.25213176453090536,0.20620245640911558,0.17783879808997377,0.13989543731193715,10.499125304277221,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
9,0.09,1,-0.6691494162717944,0.17840298764872387,0.45365748338240225,-0.26403754322494954,-0.2062739484964159,-0.47708877643505593,-0.25159465728267333,0.2062739484964159,0.1781665187080978,0.13985019191532067,10.458718848609964,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
10,0.1,1,-0.6667463441265147,0.1791192045840498,0.4514271376505567,-0.2662561799479533,-0.20494737325546,-0.47577583083280883,-0.2512944398301394,0.20494737325546,0.17724421961735007,0.13765288204303824,10.473361739141856,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
11,0.11,1,-0.665856615816527,0.17778421441180423,0.4512003979695955,-0.2648921586829841,-0.20622428645971097,-0.4768015075671954,-0.2509881866959023,0.20622428645971097,0.17729093015591715,0.1360647454891098,10.354459435328774,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
12,0.12,1,-0.664440166235813,0.17665048550114057,0.4507367719821403,-0.2639549502956583,-0.2070328388802283,-0.47747427860476044,-0.25058154367677693,0.2070328388802283,0.17688557111205216,0.1352037573705363,10.287180661102232,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
13,0.13,1,-0.6667693276940853,0.17812510915208604,0.45012019427375666,-0.26519472477590217,-0.20635896293249184,-0.47806936988313686,-0.2512796477726338,0.20635896293249184,0.17660007176303266,0.1356350255301769,10.305059352453787,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
14,0.14,1,-0.6663178087337525,0.17742025994157926,0.450887638293508,-0.2639902846490409,-0.20681536613415488,-0.4773101674598041,-0.25096261114707136,0.20681536613415488,0.17727494450033532,0.13601378947493697,10.286135220825969,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
15,0.15,1,-0.6657470431236915,0.17738728669758103,0.4510176603201225,-0.2634146772433398,-0.20751680191983796,-0.478095749630611,-0.2505914778898168,0.20751680191983796,0.17618405230171938,0.1354986843464989,10.242853784279768,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
16,0.16,1,-0.6663437490232215,0.17914744024077786,0.449781872110292,-0.2667721543057594,-0.2035993236263662,-0.4754036906157715,-0.251322821029401,0.2035993236263662,0.1765123735284192,0.13533964242326213,10.339003608166145,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
17,0.17,1,-0.6684756735559918,0.17862012883131623,0.4508255224315313,-0.2642836201042124,-0.20501121021225702,-0.472337490078363,-0.25137972160962935,0.20501121021225702,0.1775850442852881,0.13500252107599228,10.255938835014824,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
18,0.18,1,-0.6698885080770907,0.17875523176793587,0.44757156689530625,-0.2638923942622166,-0.20338081251794476,-0.46985854842123953,-0.25167522352379046,0.20338081251794476,0.17723366009520636,0.13361661088549556,10.27481582836613,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
19,0.19,1,-0.6684388453063892,0.1773807872128783,0.44768879148914836,-0.2652241701254987,-0.20266893266865252,-0.47177439091929096,-0.2520940760730032,0.20266893266865252,0.17595277706225845,0.13217299260034254,10.209608460527779,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
20,0.2,1,-0.6680406351500596,0.1757008400825436,0.4501746491287438,-0.2618331219292119,-0.2045904304395628,-0.47158371734443605,-0.25139097233224267,0.2045904304395628,0.17506609794020977,0.13246485658723942,10.137487901923658,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
21,0.21,1,-0.6688291686715276,0.1775757092672837,0.4491386958706565,-0.2617432705645966,-0.20388461958164197,-0.47211720014901937,-0.2509989099896135,0.20388461958164197,0.17489412189055803,0.13249932712494722,10.123755357292927,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
22,0.22,1,-0.6700103294769257,0.17927930180822488,0.44756520431574054,-0.26354200820011897,-0.2042534672991733,-0.46928029746048583,-0.2514243452896066,0.2042534672991733,0.1728680334877319,0.13180189376069745,10.1462986191848,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
23,0.23,1,-0.6667765992115906,0.17801688486299105,0.4495201535273873,-0.26114508172304385,-0.20443507262156788,-0.47134762383052536,-0.24996826535721448,0.20443507262156788,0.17041994108323663,0.13199639242723712,10.032870017412758,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
24,0.24,1,-0.6661682688985442,0.17646414946980105,0.4517025492086796,-0.2584212825273788,-0.20562926043261556,-0.47063340343573706,-0.24937513398537395,0.20562926043261556,0.17091675117371632,0.13162449808908186,9.959963715333547,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
25,0.25,1,-0.6654738412406314,0.17857558555366196,0.4495903807016016,-0.26258227973517834,-0.20486643578451313,-0.4689806587962899,-0.24982684514071593,0.20486643578451313,0.16955726898358545,0.12955975019416557,9.980193422136342,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
26,0.26,1,-0.6666924396877307,0.17998265768034616,0.45044547595462137,-0.26171525819813857,-0.20655732081235764,-0.46977751309351046,-0.24947501340184106,0.20655732081235764,0.16862683455861124,0.12896190818950648,9.958822641849551,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
27,0.27,1,-0.6649613959671742,0.18430075360969983,0.4519126284044027,-0.26457859024627867,-0.20156763906078382,-0.46678151365672743,-0.24841307753458433,0.20156763906078382,0.16343514830993736,0.12387624736581046,9.819839025292898,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
28,0.28,1,-0.6673202458492273,0.18117992613504283,0.45314060236637016,-0.2583743755706471,-0.20127319856468817,-0.4584644008178638,-0.24817156509494387,0.20127319856468817,0.16695928163594906,0.12363202100752799,9.512625216628162,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
29,0.29,1,-0.6714328171290427,0.18506779511309118,0.45370187657756406,-0.2650054988767297,-0.1996823054595664,-0.4503778068945469,-0.2504568402975604,0.1996823054595664,0.16494838128765973,0.11978938533290868,9.489184543058984,2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,100.0,100.0,1
