frame_idx,timestamp_s,face_detected,au06_cheek_raise_proxy,au12_lip_corner_pull_proxy,au09_nose_wrinkle_proxy,au10_upper_lip_raise_proxy,au24_lip_press_proxy,au45_blink_proxy,cheek_composite_proxy,mouth_open_proxy,mouth_asymmetry_proxy,head_yaw_proxy,head_roll_deg,video_id,source_file,source_fps,processed_fps,frame_step
0,0.0,1,-0.7787885175592252,0.033357015505487676,0.36770230444817104,-0.3985078384135101,-0.0017881617116201902,-0.6017213923361191,-0.3813131134890826,0.0017881617116201902,0.024541502008591374,-0.04258927809629561,-3.925527470878611,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,100.0,100.0,1
1,0.01,1,-0.7816043149080811,0.03140412827768538,0.37397592180031725,-0.39700168243290057,-0.00195778422228732,-0.5966833218677361,-0.3824006230210988,0.00195778422228732,0.020616093507046823,-0.04095743181880592,-4.090376950624276,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,100.0,100.0,1
2,0.02,1,-0.7829772883878598,0.030726519165806567,0.3759124122764205,-0.3962474129569986,-0.001958770364205,-0.5935518015185399,-0.38283272739301727,0.001958770364205,0.01934065225048698,-0.03986296854341897,-4.073975723656548,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,100.0,100.0,1
3,0.03,1,-0.7837481425533566,0.030280729410857552,0.37701055319484306,-0.3955544943939466,-0.001973979182890044,-0.5920914389418177,-0.38300730251214854,0.001973979182890044,0.018481864013041253,-0.039323905803206084,-4.072296449692879,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,100.0,100.0,1
4,0.04,1,-0.7845111023257862,0.029938780977663993,0.37790221507863014,-0.39486440741305884,-0.001971151610769432,-0.5914714795268687,-0.383145576253727,0.001971151610769432,0.017819388809253624,-0.03886249265449644,-4.080333714344837,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,100.0,100.0,1
5,0.05,1,-0.785449465168478,0.029527126827390487,0.37852911880534257,-0.3944475398989915,-0.0019759086941491554,-0.5897042065059201,-0.38345662608002634,0.0019759086941491554,0.017106221542095137,-0.03853316221797331,-4.079536838605805,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,100.0,100.0,1
6,0.06,1,-0.7860963266624769,0.02917483150555489,0.37894199775337495,-0.39407044733269014,-0.002000888322630931,-0.5883446945712802,-0.3836639808298707,0.002000888322630931,0.016544351165725873,-0.038243465834679385,-4.0746141464030385,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,100.0,100.0,1
7,0.07,1,-0.7865200368499133,0.028832605210641137,0.3792120243945691,-0.39372468438477015,-0.0020356461473834495,-0.5873538552834162,-0.3838040386746808,0.0020356461473834495,0.01608952953665258,-0.03803733420612219,-4.071692978375467,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,100.0,100.0,1
8,0.08,1,-0.7868263951857232,0.028551406248043847,0.3793413718643392,-0.39349573797381815,-0.0020669113525646427,-0.586821066455449,-0.3839235756371658,0.0020669113525646427,0.015695761322711593,-0.037925781045789926,-4.073033746067427,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,100.0,100.0,1
9,0.09,1,-0.7872352809992004,0.028107866032912935,0.37953852642950636,-0.3931730775643577,-0.0021476464181157296,-0.5861497717332278,-0.3841001641768817,0.0021476464181157296,0.015265724670900002,-0.037759530747383835,-4.077888878486464,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,100.0,100.0,1
10,0.1,1,-0.7876934670038669,0.027731727000550113,0.37979023464892964,-0.3928787805767499,-0.00220272657497308,-0.5849919389466043,-0.3842801735266889,0.00220272657497308,0.014889941096133863,-0.03761463389768673,-4.081592497977452,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,100.0,100.0,1
11,0.11,1,-0.788096252888238,0.027370762501455065,0.3800900294230711,-0.39254685608344686,-0.0022679471076311143,-0.5839485193492744,-0.38442411549007655,0.0022679471076311143,0.014596899353876754,-0.03746636429542593,-4.093462794664167,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,100.0,100.0,1
12,0.12,1,-0.7886395445181585,0.027009008660269958,0.38049998508711425,-0.3922887676191591,-0.002337643848033455,-0.5829752696763003,-0.38463976782568254,0.002337643848033455,0.014387182196504984,-0.0371810777117983,-4.106494712324122,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,100.0,100.0,1
