video_id,file_name,source_path,size_bytes,modified_time,fps,frame_count,duration_s,width,height,readable,sha256,duplicate_group,is_duplicate,representative
2025-12-23_14-26-24_Orna_1,2025-12-23 14-26-24 Orna 1.mp4,C:\Users\gitya\Downloads\Micro Exp Papers\2025-12-23 14-26-24 Orna 1.mp4,175551641,2026-04-20T14:14:46.772150517,100.0,16127,161.27,1920,1080,True,e37ec913a8bdba47f59ea3c7241769976fe2ebe392c407f218d2370a1c6b08a9,dup_04,True,True
2025-12-23_14-26-24_Orna,2025-12-23 14-26-24 Orna.mp4,C:\Users\gitya\Downloads\Micro Exp Papers\2025-12-23 14-26-24 Orna.mp4,175551641,2026-04-20T14:14:57.554994822,100.0,16127,161.27,1920,1080,True,e37ec913a8bdba47f59ea3c7241769976fe2ebe392c407f218d2370a1c6b08a9,dup_04,True,False
2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,C:\Users\gitya\Downloads\Micro Exp Papers\2025-12-23 14-33-37 Roy 1.mp4,91459339,2026-04-20T14:14:59.120745659,100.0,12769,127.69,1920,1080,True,dfd8900a36ce36bacdb533fc8ad66fee7d127bfe70c3149d61ff6c39d60c8d62,dup_03,True,True
2025-12-23_14-33-37_Roy,2025-12-23 14-33-37 Roy.mp4,C:\Users\gitya\Downloads\Micro Exp Papers\2025-12-23 14-33-37 Roy.mp4,91459339,2026-04-20T14:15:00.768614292,100.0,12769,127.69,1920,1080,True,dfd8900a36ce36bacdb533fc8ad66fee7d127bfe70c3149d61ff6c39d60c8d62,dup_03,True,False
2025-12-23_14-37-45_Marina_1,2025-12-23 14-37-45 Marina 1.mp4,C:\Users\gitya\Downloads\Micro Exp Papers\2025-12-23 14-37-45 Marina 1.mp4,127957585,2026-04-20T14:15:03.132302046,100.0,12901,129.01,1920,1080,True,b6af30d36c7af0c933bc0b0e55152dbfa4ea483c0841977613d2386d8aec8d3f,dup_02,True,True
2025-12-23_14-37-45_Marina,2025-12-23 14-37-45 Marina.mp4,C:\Users\gitya\Downloads\Micro Exp Papers\2025-12-23 14-37-45 Marina.mp4,127957585,2026-04-20T14:15:07.190132618,100.0,12901,129.01,1920,1080,True,b6af30d36c7af0c933bc0b0e55152dbfa4ea483c0841977613d2386d8aec8d3f,dup_02,True,False
2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,C:\Users\gitya\Downloads\Micro Exp Papers\2025-12-23 14-40-26 Maya 1.mp4,98714026,2026-04-20T14:15:09.215244532,100.0,12761,127.61,1920,1080,True,3e8858b982dd9598e30b6170f55e3d600f20e25ab98682a9dba93f18d587839b,dup_01,True,True
2025-12-23_14-40-26_Maya,2025-12-23 14-40-26 Maya.mp4,C:\Users\gitya\Downloads\Micro Exp Papers\2025-12-23 14-40-26 Maya.mp4,98714026,2026-04-20T14:15:13.433126688,100.0,12761,127.61,1920,1080,True,3e8858b982dd9598e30b6170f55e3d600f20e25ab98682a9dba93f18d587839b,dup_01,True,False
2025-12-28_14-03-58,2025-12-28 14-03-58.mp4,C:\Users\gitya\Downloads\Micro Exp Papers\2025-12-28 14-03-58.mp4,977730343,2026-04-20T14:15:34.095222473,100.0,127966,1279.66,1920,1080,True,0ac158c506cc28feabbc12715271f587b3dd2090c845b66f01bb376a371dad58,,False,True
2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,C:\Users\gitya\Downloads\Micro Exp Papers\2026-01-08 10-25-28.mp4,20815186,2026-04-20T14:15:34.476066828,100.0,1502,15.02,1920,1080,True,183724f626ed1a86053e5b8930ea592d1dd7bf12fa9bcbaaecd070b7988eca3d,,False,True
