,au06_cheek_raise_proxy_mean,au12_lip_corner_pull_proxy_mean,au09_nose_wrinkle_proxy_mean,au10_upper_lip_raise_proxy_mean,au24_lip_press_proxy_mean,au45_blink_proxy_mean,cheek_composite_proxy_mean,mouth_open_proxy_mean,mouth_asymmetry_proxy_mean,head_yaw_proxy_mean,head_roll_deg_mean
au06_cheek_raise_proxy_mean,1.0,0.023260539712120002,-0.23073174769829977,0.5955279863511008,0.20121353543186776,0.27996019618538226,0.7430052742263008,-0.20121353543186776,-0.43747521185143495,0.42237207293966,-0.1448029187989246
au12_lip_corner_pull_proxy_mean,0.023260539712120002,1.0,0.6500218414878908,0.5926074387087472,-0.2865897296863619,0.3717937037766714,0.647963601725943,0.2865897296863619,-0.2588545435866667,-0.17790849720588675,-0.20500476007697188
au09_nose_wrinkle_proxy_mean,-0.23073174769829977,0.6500218414878908,1.0,0.04508468546945371,-0.19126916478936018,0.416683546007967,0.16305432970625608,0.19126916478936018,-0.24645440322483636,-0.3875690527743196,-0.34903736803958807
au10_upper_lip_raise_proxy_mean,0.5955279863511008,0.5926074387087472,0.04508468546945371,1.0,-0.3008838802119196,0.07939221570040086,0.93219045058222,0.3008838802119196,-0.46878640471580996,0.21893606805287816,-0.010217496135132356
au24_lip_press_proxy_mean,0.20121353543186776,-0.2865897296863619,-0.19126916478936018,-0.3008838802119196,1.0,-0.016234012817126754,-0.13545485103097457,-1.0,-0.015262814413625928,0.23528067157410446,0.14651118315960732
au45_blink_proxy_mean,0.27996019618538226,0.3717937037766714,0.416683546007967,0.07939221570040086,-0.016234012817126754,1.0,0.3185665666233382,0.016234012817126726,0.21932104917067885,-0.029360782929948218,-0.2021005841989624
cheek_composite_proxy_mean,0.7430052742263008,0.647963601725943,0.16305432970625608,0.93219045058222,-0.13545485103097457,0.3185665666233382,1.0,0.13545485103097446,-0.5077573566300843,0.225908646335192,-0.15745453240191543
mouth_open_proxy_mean,-0.20121353543186776,0.2865897296863619,0.19126916478936018,0.3008838802119196,-1.0,0.016234012817126726,0.13545485103097446,1.0,0.015262814413625928,-0.23528067157410446,-0.14651118315960732
mouth_asymmetry_proxy_mean,-0.43747521185143495,-0.2588545435866667,-0.24645440322483636,-0.46878640471580996,-0.015262814413625928,0.21932104917067885,-0.5077573566300843,0.015262814413625928,1.0,-0.19970261540290546,0.3175957372992973
head_yaw_proxy_mean,0.42237207293966,-0.17790849720588675,-0.3875690527743196,0.21893606805287816,0.23528067157410446,-0.029360782929948218,0.225908646335192,-0.23528067157410446,-0.19970261540290546,1.0,0.5547627426410896
head_roll_deg_mean,-0.1448029187989246,-0.20500476007697188,-0.34903736803958807,-0.010217496135132356,0.14651118315960732,-0.2021005841989624,-0.15745453240191543,-0.14651118315960732,0.3175957372992973,0.5547627426410896,1.0
