video_id,trial_id,condition,n_processed_frames,face_detection_rate,baseline_frames,baseline_face_frames,mean_abs_head_yaw_proxy,max_abs_head_yaw_proxy,mean_abs_head_roll_deg,max_abs_head_roll_deg,quality_flag,occlusion_notes
P1H31277,1,control,601,1.0,51,51,0.052732235553014636,0.0877769871522008,3.217076843449337,4.2823103665830455,ok,
P1H31277,2,sweat,601,1.0,51,51,0.07935222092762442,0.1069565886728367,7.307706539380894,8.495849088977565,ok,
P1H42065,1,control,601,0.9866888519134775,51,43,0.08956357676823479,0.248649292411138,1.7682021420666583,15.943656355786745,ok,
P1H42065,2,sweat,601,1.0,51,51,0.08038379345841626,0.1228026522650531,1.8632479470744052,4.989638633973625,ok,
P1L42069,1,control,601,1.0,51,51,0.033897089742272346,0.0571514564793267,3.1786997218852937,4.971897388802514,ok,
P1L42069,2,sweat,601,0.9933444259567388,51,47,0.023364419228489898,0.188453039139473,1.7062399535828479,19.391592339572604,ok,
P2H31220,1,control,601,0.8169717138103162,51,6,0.043637950953591534,0.1235151927226396,1.8183178429645488,18.88614407979336,ok,
P2H31220,2,sweat,601,1.0,51,51,0.029756928091795566,0.0767439445910658,1.3401812365754302,4.904927783818473,ok,
P2H42009,1,control,601,1.0,51,51,0.011110892629928936,0.0301296785843822,5.1324249883667585,6.871271478625139,ok,
P2H42009,2,sweat,601,1.0,51,51,0.03059979511116141,0.0770748580757753,0.8843590617022211,4.239490789339967,ok,
P2L40002,1,control,601,1.0,51,51,0.048325921974507156,0.1027133361631716,1.578030234183871,4.395675719400721,ok,
P2L40002,2,sweat,601,1.0,51,51,0.056699673282874896,0.0760550537572963,3.356876704579261,4.89459257209526,ok,
P2L42107,1,control,601,1.0,51,51,0.05114659539827738,0.1143415528357087,6.155483576737117,13.20980515929836,ok,
P2L42107,2,sweat,601,1.0,51,51,0.023752514996354834,0.072662103954597,3.7271019045389213,9.98883669929903,ok,
